gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw,_tag
gfx950,32,1,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.7844,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,7.0664,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,18.8508,0,0,0,0.0,0.0,
gfx950,32,2,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.9612,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,13.4137,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,27.3749,0,0,0,0.0,0.0,
gfx950,32,4,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,30.8119,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,23.5720,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,54.3839,0,0,0,0.0,0.0,
gfx950,32,8,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,50.4899,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,42.6710,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,93.1609,0,0,0,0.0,0.0,
gfx950,32,16,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,73.9849,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,70.7091,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,144.6940,0,0,0,0.0,0.0,
gfx950,32,32,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,114.9350,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,109.7260,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,224.6610,0,0,0,0.0,0.0,
gfx950,32,64,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,151.4340,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,142.1180,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,293.5520,0,0,0,0.0,0.0,
gfx950,32,128,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,162.8380,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,153.2110,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,316.0490,0,0,0,0.0,0.0,
gfx950,32,256,6144,128,257,9,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,172.9440,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,158.9900,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,331.9340,0,0,0,0.0,0.0,
gfx950,32,1,6144,128,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,11.7844,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,7.0664,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,18.8508,0,0,0,0.0,0.0,
gfx950,32,2,6144,128,256,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,13.9612,flydsl_moe1_afp4_wfp4_bf16_t32x128x256_w2_bnt0,0.0,13.4137,flydsl_moe2_afp4_wfp4_bf16_t32x256x128_atomic_bnt2,0.0,27.3749,0,0,0,0.0,0.0,
