input_0_dim_0,input_0_dim_1,input_0_type,input_1_dim_0,input_1_dim_1,input_1_dim_2,input_1_type,input_2_dim_0,input_2_dim_1,input_2_dim_2,input_2_type,input_3_dim_0,input_3_dim_1,input_3_type,input_4_dim_0,input_4_dim_1,input_4_type,input_9_dim_0,input_9_dim_1,input_9_dim_2,input_9_type,input_10_dim_0,input_10_dim_1,input_10_dim_2,input_10_type,occurrence_count,avg_gpu_duration_ns,min_gpu_duration_ns,max_gpu_duration_ns,gpu_kernel_name, total_memory_bytes,average_bandwith,maximum_bandwith,minimum_bandwith,achieved_tflops,
8613,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,8613,8,float,8613,8,int,256,4,56,float,256,56,2,float,2,2469368.5,2330853,2607884,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1533657408,0.621072719,0.65798118,0.588084979,102.4062559,
7339,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,7339,8,float,7339,8,int,256,4,56,float,256,56,2,float,1,1932024,1932024,1932024,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1515311808,0.784313139,0.784313139,0.784313139,111.5275894,
5913,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,5913,8,float,5913,8,int,256,4,56,float,256,56,2,float,2,1677291.5,1652752,1701831,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1494777408,0.891185228,0.904417243,0.87833481,103.5040343,
4644,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,4644,8,float,4644,8,int,256,4,56,float,256,56,2,float,1,1547635,1547635,1547635,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1476503808,0.95403878,0.95403878,0.95403878,88.10115721,
4604,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,4604,8,float,4604,8,int,256,4,56,float,256,56,2,float,1,1481477,1481477,1481477,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1475927808,0.996254284,0.996254284,0.996254284,91.24274579,
4341,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,4341,8,float,4341,8,int,256,4,56,float,256,56,2,float,1,1250843,1250843,1250843,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1472140608,1.176918772,1.176918772,1.176918772,101.8931358,
4132,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,4132,8,float,4132,8,int,256,4,56,float,256,56,2,float,1,1291363,1291363,1291363,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1469131008,1.137659208,1.137659208,1.137659208,93.94418835,
2907,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,2907,8,float,2907,8,int,256,4,56,float,256,56,2,float,3,984384,894334,1062528,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1451491008,1.474517067,1.622985381,1.366073184,86.70385957,
2571,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,2571,8,float,2571,8,int,256,4,56,float,256,56,2,float,2,899093,891853,906333,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1446652608,1.609013315,1.622075172,1.59616014,83.95670869,
2072,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,2072,8,float,2072,8,int,256,4,56,float,256,56,2,float,3,811535.6667,786377,856614,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1439467008,1.773756924,1.830504972,1.680414992,74.9618134,
2064,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,2064,8,float,2064,8,int,256,4,56,float,256,56,2,float,5,768961.2,752577,792697,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1439351808,1.871813309,1.912564173,1.815765429,78.80671247,
1622,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1622,8,float,1622,8,int,256,4,56,float,256,56,2,float,3,593382.3333,574623,604382,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1432987008,2.414947206,2.493786375,2.370995509,80.255385,
1606,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1606,8,float,1606,8,int,256,4,56,float,256,56,2,float,1,613502,613502,613502,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1432756608,2.335373981,2.335373981,2.335373981,76.85772103,
1547,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1547,8,float,1547,8,int,256,4,56,float,256,56,2,float,14,599607.7857,560863,622501,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1431907008,2.38807274,2.553042379,2.300248527,75.74971356,
1496,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1496,8,float,1496,8,int,256,4,56,float,256,56,2,float,1,592222,592222,592222,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1431172608,2.416615067,2.416615067,2.416615067,74.16602471,
1478,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1478,8,float,1478,8,int,256,4,56,float,256,56,2,float,2,601262,597302,605222,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1430913408,2.379850062,2.395628021,2.364278575,72.17198024,
1348,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1348,8,float,1348,8,int,256,4,56,float,256,56,2,float,1,533704,533704,533704,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1429041408,2.677591714,2.677591714,2.677591714,74.15618497,
1294,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1294,8,float,1294,8,int,256,4,56,float,256,56,2,float,4,523944,511264,537264,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1428263808,2.725985617,2.793593541,2.658402216,72.51157687,
1239,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1239,8,float,1239,8,int,256,4,56,float,256,56,2,float,2,515304.5,514024,516585,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1427471808,2.770152032,2.777052838,2.763285438,70.59359775,
1192,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1192,8,float,1192,8,int,256,4,56,float,256,56,2,float,1,522264,522264,522264,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1426795008,2.731942098,2.731942098,2.731942098,67.01069301,
1104,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,1104,8,float,1104,8,int,256,4,56,float,256,56,2,float,1,491425,491425,491425,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1425527808,2.900804412,2.900804412,2.900804412,65.9583483,
775,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,775,8,float,775,8,int,256,4,56,float,256,56,2,float,2,454105.5,448266,459945,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1420790208,3.128766791,3.169524809,3.089043707,50.10751731,
762,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,762,8,float,762,8,int,256,4,56,float,256,56,2,float,2,459866,458106,461626,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1420603008,3.089167297,3.101035586,3.077389506,48.64986221,
737,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,737,8,float,737,8,int,256,4,56,float,256,56,2,float,3,460079,455546,464945,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1420243008,3.086954649,3.117671998,3.054647341,47.03195394,
585,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,585,8,float,585,8,int,256,4,56,float,256,56,2,float,2,447966,445386,450546,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1418054208,3.165539813,3.183876925,3.147412713,38.34146984,
561,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,561,8,float,561,8,int,256,4,56,float,256,56,2,float,3,424613.6667,369389,454546,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1417708608,3.338820013,3.837982744,3.118955195,38.7906304,
504,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,504,8,float,504,8,int,256,4,56,float,256,56,2,float,1,353309,353309,353309,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1416887808,4.010336017,4.010336017,4.010336017,41.88261412,
480,7168,c10::BFloat16,256,512,7168,c10::Float8_e4m3fnuz,256,7168,256,c10::Float8_e4m3fnuz,480,8,float,480,8,int,256,4,56,float,256,56,2,float,1,353069,353069,353069,aiter::fmoe_bf16_blockscaleFp8_g1u1_novs_silu_1tg_ps_32x256,1416542208,4.012083213,4.012083213,4.012083213,39.91531808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
